QN#,Date Opened,Title,Part number,Work Center,Defect Type,Serial Number,OSTR Actions Complete
40725392,5/1/2022,DIW leak from tube weldment,0051-91673,52CMPPPT,PART DAMAGE / COSMETIC ISSUE,,
40724935,4/30/2022,main diw tube leak,0051-92529,52CMPPPT,PART DAMAGE / COSMETIC ISSUE,,
40724839,4/30/2022,Part mispick.,0051-04874,34CMPB,PART - MISSING/WRONG PART OR QTY,BAFBHCB,YES
40724659,4/29/2022,"57. 0251-48452 - OMS, KIT, PASS-THRU W/R",0022-81391,34CMPB,OTHER,,YES
40724620,4/29/2022,B-side holder lift resistance,0010-86295,34CMPB,FUNCTIONAL FAILURE,0922-SN0074,YES
40724582,4/29/2022,0042-52906 mushroomed dowel pin,0042-52906,36NPIT,FIT ISSUE,,YES
40724551,4/29/2022,LOG (B52 AL) BARE PART DAMAGE,0010-60438,B52LOG,PART DAMAGE / COSMETIC ISSUE,,
40724514,4/29/2022,wrong orientation,0010-65254,34CMPB,ASSEMBLED INCORRECTLY / WORKMANSHIP,1622-SN01339,YES
40724492,4/29/2022,Wrong position upper spray bars,0010-68059,34CMPB,ASSEMBLED INCORRECTLY / WORKMANSHIP,1722-SN01346,YES
40724489,4/29/2022,bad housing,0020-09395,34SMGRFM,PART DAMAGE / COSMETIC ISSUE,,YES
40724482,4/29/2022,Bad Part# 0042-39400,0042-39400,34CMPB,AMAT Spec Reviewed - PART NOT TO SPEC,,
40724470,4/29/2022,CLNR 902176 BAY#1,0051-79383,34CMPB,PART DAMAGE / COSMETIC ISSUE,401-030,YES
40723997,4/28/2022,Center Input Shuttle weldment damaged,0041-79195,34CMPFT,PART DAMAGE / COSMETIC ISSUE,,YES
40723996,4/28/2022,Center Input Shuttle weldment damaged,0041-79195,34CMPFT,PART DAMAGE / COSMETIC ISSUE,,YES
40723925,4/28/2022,Damaged End Cover,0042-16885,34CMPFT,PART DAMAGE / COSMETIC ISSUE,1422,YES
40723385,4/27/2022,0030-00374 Chipped Safety Shield,0030-00374,36MDPCHT,PART DAMAGE / COSMETIC ISSUE,30047-0622-49,YES
40723380,4/27/2022,part broke during installation,0051-91673,52CMPPPB,PART DAMAGE / COSMETIC ISSUE,,YES
40723334,4/27/2022,Physical Damage,0041-26867,34CMPFT,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40722893,4/27/2022,logistic identify missing part,0041-79637,B30LOG,PART - MISSING/WRONG PART OR QTY,,YES
40722887,4/27/2022,Logistics identified under-ship part,0022-00789,B34LOG,PART - MISSING/WRONG PART OR QTY,,YES
40722870,4/27/2022,Part installed wrongly on other system.,0010-64912,52CMPPPT,OTHER,,YES
40722864,4/27/2022,Missing Part,0051-04882,34CMPB,PART - MISSING/WRONG PART OR QTY,,YES
40722788,4/27/2022,POL HCLU BUCKET,0042-45127,34CMPB,LEAK,,YES
40722385,4/26/2022,Broken Weldment Bracket 0042-28515 POL,0042-28515,34CMPFT,PART DAMAGE / COSMETIC ISSUE,,YES
40722136,4/26/2022,Damaged part: 0042-28853,0042-28853,34CMPB,PART DAMAGE / COSMETIC ISSUE,122-03,YES
40722091,4/26/2022,CLNR PART INCORRECT WELD,0051-43095,34CMPB,PART DAMAGE / COSMETIC ISSUE,1022-1,YES
40722010,4/26/2022,Safety Shield (0030-00374) Broken,0030-00374,36MDPCP,PART DAMAGE / COSMETIC ISSUE,,YES
40721877,4/26/2022,Part missing,0022-31316,36ETNPEB,PART - MISSING/WRONG PART OR QTY,,YES
40721797,4/26/2022,window holder lost on floor,0022-95919,36NPIB,PART - MISSING/WRONG PART OR QTY,,YES
40721576,4/25/2022,part lap weld issue,0051-39893,52CMPMPB,AMAT Spec Reviewed - PART NOT TO SPEC,,YES
40721572,4/25/2022,part lap weld issue,0051-39893,52CMPMPB,AMAT Spec Reviewed - PART NOT TO SPEC,,YES
40721368,4/25/2022,Part broken,0051-92529,52CMPPPB,PART DAMAGE / COSMETIC ISSUE,,YES
40721150,4/25/2022,Wrong part received,0022-27050,36ETNPEB,PART - MISSING/WRONG PART OR QTY,,YES
40721022,4/25/2022,CLNR. Part # 0042-30176,0042-30176,34CMPB,PART DAMAGE / COSMETIC ISSUE,1122-02,YES
40720663,4/24/2022,Incoming Part Thread Hole Damage,0042-32922,52CMPMBB,FIT ISSUE,,YES
40720582,4/24/2022,part damage,0021-99750,52CMPPPB,PART DAMAGE / COSMETIC ISSUE,300047-0522,YES
40720576,4/24/2022,part damage,0021-99750,52CMPPPB,OTHER,300047-0522,YES
40720425,4/24/2022,LOG (B54 OPS) MFG RTS WRONG PART,0020-52999,B54LOG,PART - MISSING/WRONG PART OR QTY,,YES
