Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,,Description of Defect,Defect Type,Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date, Days to disposition ,"Cost 
(if any)",Comments,Status ,
4/2/2021,5436,ASM463025,0021-45239,3,10,100,"      PARTS REJECTED DUE TO NOT MEETING PRINT AND FAILS FORM FIT AND FUNCTION 
PLEASE SEE SHEET 1 ZONE D7 SHOULD BE Ø19.99+0.00/-0.05 ACTUAL IS BETWEEN Ø20.00-Ø20.03",Dimensional,"DONG QUANG Mechanical Electrical Co., LTD",RTV,Marco,4/2/2021,,$0.00 ,,"4/2/21 - An email was sent to Marco and Linda to notify supplier regarding this issue. 
4/8/21- Pending action from supplier. 
4/16/21 - An email was sent to Marco and John O, to follow up with DQ.
4/29/21 - A follow up email was sent to supplier. 
5/3/21-Per supplier, replacement  PN 0021-45239 Rev 3, Qty 10 was shipped on April, 19th 

",Open,
4/2/2021,5437,458126,0090-05371,2,2,12,"WRONG SENSOR RECEIVED AND FAILS FUNCTIONALITY TEST  
P/N SHOULD BE KG5069 ACTUAL SENSOR RECEIVED IS P/N KG5067",Functional,Powermatic,RTV,Marco,4/2/2021,,$0.00 ,,"4/2/21 - An email was sent to Marco and Linda to notify supplier regarding this issue. 
4/15/21- RMA form was filled out and returned to supplier. 
4/19/21- Parts were released to Shipping to be returned to supplier.
4/29/21 - A follow up email was sent to supplier regarding this issue. 
5/6/21- A follow up email was sent to supplier regarding this issue. ",Open,
4/2/2021,5439,asm460401,0042-24171,2,7,20,"parts rejected due to cosmetic issue with ANODIZE BLEED OUT 
",Cosmetic,Santa Clara Plating Co. Inc,RTV,Marco,,,"($44,288.00)",,"4/2/21 - An email was sent to Marco and Linda to notify supplier regarding this issue. 
4/6/21- Parts were released to supplier for rework. 
4/19/21- Expected delivery date 4/19/21 per supplier. 
4/29/21- Parts received from supplier. pending inspection
5/6/21- A follow up email was sent to Karen and Conrado to inspect the part. ",Open,
4/2/2021,5441,mt-asm464432,0042-35562,1,1,5,"Part rejeceted for missing m3 x .05 replacement has an overisze thread and form fit and function fails
",Workmanship,Hill Manufacturing Co. LLC,RTV,Marco,4/2/2021,44326,$0.00 ,,"4/2/21 - An email was sent to Marco and Linda to notify supplier regarding this issue. 
4/12/21- Parts were picked up by supplier.
4/16/21-A follow up email was sent to Marco 
4/29/21 - An email was sent to Marco to follow up with supplier. 
5/4/21- An email was sent to Marco to follow up with supplier. 2721",Closed,
4/8/2021,5452,465003, 15-431471-00,C,4,10,"PARTS REJECTED DUE TO COSMETIC ISSUES 
DEEP PITS, SCRATCHES, AND PARTICLE WITHIN THE ESD COATING",Cosmetic,SciCron,RTV,Marco,4/8/2021,,$0.00 ,,"4/8/21 - An email was sent to Marco to notify supplier. 
4/16/21- A follow up email was sent to supplier 
4/21/21- An email was sent to Marco to follow up with supplier. 
4/29/21- A follow up email was sent to follow .
5/4/21- An email was sent to Marco to follow up with supplier.",Open,
4/13/2021,5462,465598,15-431463-00,E,2,206,Parts rejected due to cosmetic issues. Parts have scratches nicks and haze after ESD coating. ,Cosmetic,"SciCron Technologies, LLC",RTV,Marco,4/14/2021,,$1.00 ,,"4/14/21- An email was sent to Marco to notify supplier. 
4/26/21- A follow up email was sent to supplier. 
5/4/21- An email was sent to Marco to follow up with supplier. ",Open,
4/15/2021,5464,467429,0042-35578,2,2,2,Part mark - method 2 - missing insert M5x0.8 4 ea - missing. Thread .125-27 NPT unacceptable. ,Workmanship,"A & T Precision Machining, Inc.",Rework,Marco/Erik L,4/15/2021,,$0.00 ,,"4/16/21- An email was sent to Marco to notify supplier. 
4/29/21- An email was sent to Marco to follow up with supplier. 
5/6/21 - An email was sent to Erik regarding this issue and possible rework.
5/10/21- Pending hardware installation.",Open,
4/19/2021,5466,MT-462685,0042-27947,2,1,5,"After anodizing, found rust alike formation around the the lip of DIAMETER Ø547.00 @C2B8",Workmanship,Semano,RTV,Marco,4/19/2021,,$0.00 ,,"4/19/21- An email was sent to Marco to notify supplier. Released to shipping.
4/29/21- An email was sent to Marco to follow up with supplier. 
5/3/21- Supplier issued a DMR 24767.

",Open,
4/19/2021,5470,ASM462792,0022-62679,4,50,50,PRATS REJECTED DUE TO SILKSCREEN WORKMANSHIP SHEET 1 ZONE B11 SILKSCREEN SMEARED ,Workmanship,Eclipse Metal Fabrication,RTV,Marco,4/19/2021,,$0.00 ,,"4/19/21- An email was sent to Marco to notify supplier. 
Ask assembly dept if this is something they can use as-is.
5/6/21- Per David N. parts need to have the bracket(s) sent back to silk screen. 

",Open,
4/19/2021,5471,asm463062,0022-62679,4,20,20,"PARTS REJECTED DUE TO SILKSCREEN WORKMANSHIP
SHEET 1 ZONE B11 SILKSCREEN SMEARED",Workmanship,Eclipse Metal Fabrication,RTV,Marco,4/20/2021,,$1.00 ,,"4/20/21- An email was sent to Marco to notify supplier.
4/29/21- An email was sent to Marco to follow up with supplier. 
5/6/21- A follow up email was sent to Marco.
",Open,
