Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,Description of Defect,Defect Type,Suspected Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date,Days to complete," Cost 
(if any) ",Comments,Status ,,,,,,,,,,,,,,,,,,,,,,, 
8/2/2021,5602,470463,0042-35485,2,1,Scratches,Cosmetic,Fabrication,Scrap,Olga/Marcelino,8/2/2021,8/4/2021,2,$343 ,"8/2/21 - An email was sent to Olga and Marcelino regarding this issue.
8/4/21 - Part is non-reworkable per Marcelino. DMR 2775 ",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/3/2021,5603,P472490,713-256314-305,C,26,PARTS REJECTED DUE TO COSMETICS PARTS HAVE SCRATCHES ALL THRU THE PART,Cosmetic,CONDOR MANUFACTURING,Rewor In-house,Marcelino/Edgard,8/3/2021,9/14/2021,42,$0 ,"8/3/21 - An email was sent to Marco to notify supplier. 
8/20/21 - Supplier requested for us to rework these parts in-house. 
 
A request has already been made to Marcelino/Vladimir to rework the parts in-house. 
8/25/21 - Karen released parts to Marcelino 
9/9/21 - Pending inspection. 
9/14/21 - Parts were successfully reworked and passed inspection per Karen. 
",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/3/2021,5604,P472489,713-256314-007,B,26,PARTS REJECTED DUE TO COSMETICS PARTS HAVE SCRATCHES ALL THRU THE PART,Cosmetic,CONDOR MANUFACTURING,Scrap,Marco / Marcelino,8/3/2021,8/30/1931,-32846,$0 ,"8/3/21 - An email was sent to Marco to notify supplier. 
8/20/21 - Supplier requested for us to rework these parts in-house. 
 
A request has already been made to Marcelino/Vladimir to rework the parts in-house. 
8/25/21 - Karen released parts to Marcelino 
9/3/21 - I have closed this NCR in Epicor as successfully reworked in-house. 
However it was actually scrapped instead and not reworkable. PC linked demand to job 473585
9/10/21 - Supplier provided us a replacement. Parts passed inspection
",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/3/2021,5605,P472488,713-256314-004,C,26,PARTS REJECTED DUE TO COSMETICS PARTS HAVE SCRATCHES ALL THRU THE Part,Cosmetic,CONDOR MANUFACTURING,Rewor In-house,Marco/Marcelino,8/3/2021,9/2/2021,30,$0 ,"8/3/21 - An email was sent to Marco to notify supplier. 
8/20/21 - Supplier requested for us to rework these parts in-house. 
 
A request has already been made to Marcelino/Vladimir to rework the parts in-house. 
8/25/21 - Karen released parts to Marcelino 
9/2/21 - Successfully reworked in-house and passed inspection. 
",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/3/2021,5606,P472486,713-256314-006,B,26,"PARTS REJECTED FOR COSMETIC ISSUES. SCRATCHES ALL THRU THE PARTS,",Cosmetic,CONDOR MANUFACTURING,Rewor In-house,Marco/Marcelino,8/3/2021,9/2/2021,30,$0 ,"8/3/21 - An email was sent to Marco to notify supplier. 
8/20/21 - Supplier requested for us to rework these parts in-house. 
 
A request has already been made to Marcelino/Vladimir to rework the parts in-house. 
8/25/21 - Karen released parts to Marcelino 
9/2/21 - Successfully reworked in-house and passed inspection. 
",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/3/2021,5607,RTM473425,0022-91515,01,1,"Part is cracked/torn in half at 2 places, pics stored in job folder. RTV
NonConf:5607 WORK WORKMANSHIP",Workmanship,"Fabri-Tech Components, Inc",RTV,Marco,8/3/2021,8/13/2021,10,$0 ,"8/3/21 - An email was sent to Marco to notify supplier. 
8/12/21- Replacement part received. 
8/13/21 - Passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/6/2021,5608,it-e470619,CHP-INT-00090,01,12,SEVERAL DIMENSIONS ARE OUT OF TOLERANCE PART DOES NOT MEET PRINT  SPECS .,Dimensional,CNC,Scrap,Erik,8/6/2021,8/13/2021,7,,"8/6/21 - An email was sent to Erik regardin this NCR. 
8/13/21- Parts are non-reworkable . DMR 2778",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/6/2021,5609,P469955,0022-82527,02,5,DIMENSION OUT OF TOLERANCE,Dimensional,CNC,Rework,Erik/ Kenny,8/6/2021,8/6/2021,0,$0 ,"8/6/21 - An email was sent to Erik regardin this NCR. 
8/6/21 - Reworked and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/9/2021,5610,CP472269,0041-79463,07,6,EA 08/06: qty 6 rejected due to defects within material. Reference 0250-63743 Rexolite Insulater Plate Inspect,Defective Mtrl(cosmetic),"Purchasing(IPI Plastics, Inc)",RTV,Marco/Erik A.,8/9/2021,9/29/2021,51,"$5,460 ","8/9/21 - An email was sent to Marco to notify supplier
8/16/21 - A follow up email was sent to Martin to provide instruction on how to reject material back to supplier. 
8/20/21 -Erik A. will provide Laser light inspection training next Monday 8/23 
9/29/21- Parts to be scrapped per Erik A. DMR 2805",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/9/2021,5611,RTM472618,0042-29227,01,2,"C.B IN ALL HOLES PER PRINT SHOULD BE .305 +.001/-.000
 ACTUAL DIM. IS .298 /.299",Dimensional,CNC,Rework,Erik,8/9/2021,8/16/2021,7,$0 ,"8/9/21 - Parts were released to Erik for rework. 
8/10/21 - WIP
8/13/21 - Reworked. Pending inspection
8/16/21 - Passed inspection. 
",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/10/2021,5612,P472491,713-284202-001,B,26,PER MANUFACTURE RECOMENDATIONS Ø SIZE SHOULD BE .187+.003 /-.000 ACTUAL IS BETWEEN .240/.242,Dimensional,CONDOR MANUFACTURING,RTV,Marco,8/10/2021,8/24/2021,14,$0 ,"8/10/21 - Marco notified supplier regarding this issue. 
8/16/21 - Parts picked up by the supplier
8/24/21 - Replacement parts from supplier received and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/10/2021,5613,P472487,713-284202-002,B,26,PARTS REJECTED DUE TO NOT FOLLOWING MANUFACTURER RECOMMENDATIONS CAUSING Ø TO BE OVER SIZE FOR HARDWARE INSTALLATION,Dimensional,CONDOR MANUFACTURING,RTV,Marco,8/10/2021,8/24/2021,14,$0 ,"8/10/21 - Marco notified supplier regarding this issue. 
8/16/21 - Parts picked up by the supplier
8/24/21 - Replacement parts from supplier received and passed inspection. ",Closed,Rejected parts were Scrapped inhouse,,,,,,,,,,,,,,,,,,,,,,
8/10/2021,5614,472648,0022-88436,01,22,DIMENSION OUT,Dimensional,Nominal Machining LLC,rework,Marco,8/10/2021,9/8/2021,29,$0 ,"8/10/21 - Marco notified supplier regarding this issue. 
8/11/21- Supplier will have to remake 1 part and send it back to us for inspection before they start processing the rest of the orders. 
8/19/21 - Purchasing will change supplier due to not having capabilities. 
9/8/21- PC created a new job 473793 for in-house rework due to the supplier not having the capabilities. 
Note: this NCR is voided.   ",closed,,,,,,,,,,,,,,,,,,,,,,,
8/10/2021,5615,P469014,839-A40615-001,B,6,"Reference Sh2, Section B-B. 2x ø1.112"" ± .002"" measures oversized (as high as 1.132""). Does not fit in mating assembly as is
Job also does not have inspection OP after welding",Dimensional,Process Issue / Programming,Rework,Erik L. Kenny,8/10/2021,8/30/2021,20,,"8/10/21 - An email was sent to Kenny to advise on this issue. 
8/13/21- Successfully reworked. Pending inspection. 
8/26/21 - Rework note added on sequence 66 .
Pending closure due to incomplete data collection. 
8/30/21 - Parts passed inspection and released by Shawn. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/12/2021,5616,P473541,0022-50283,03,3, parts rejected due to not meeting print missing chamfer per sheet 1 zone D,Dimensional,Geo MFG,Rework,Joe,8/12/2021,8/12/2021,,,8/12/21- Parts were successfully reworked inhouse per Joe. ,Closed,,,,,,,,,,,,,,,,,,,,,,,
8/13/2021,5617,RPM470994,713-002617-009,B,1,DING ON EDGE OF THE PART NEXT TO ENGRAVING,Cosmetic,"SciCron Technologies, LLC",RTV,Marco,8/13/2021,8/17/2021,4,$0 ,"8/16321 - Per Jalissa this part is for testing purposes only and the most important area is flatness and vacuum seal portion. She will send pics to the customer for furthem instruction/approval.
8/17/21 - Use as-is per customer request",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/16/2021,5618,P470495,0022-81883,02,11,EDGE OF PLANE FOR  95 DEGREES DAMAGED WHEN POLISHING PARTS DEFORMED EDGE NOT POSSIBLE TO MEASURE THIS FEATUIRE,Workmanship,FABRICATION,Scrap,Marcelino,8/16/2021,8/16/2021,0,"$1,276 ",8/16/21 - Parts are not reworkable per Marcelino. DMR 2779,Closed,,,,,,,,,,,,,,,,,,,,,,,
8/17/2021,5620,P471910,K17270038,P01,1,DIMENSION OUT,Dimensional,Nominal Machining LLC,As-is,Marco,8/17/2021,9/29/2021,43,$0 ,"8/17/21 - an email was sent to Marco to notify supplier. 
9/1/21 - Awaiting replacement 
9/7/21 - A follow up email was sent to supplier regarding this issue. 
9/13/21 - Replacement parts received and pending inspection. 
9/28/21 - Pending inspection
9/29/21- Use as-is per customer request",closed,,,,,,,,,,,,,,,,,,,,,,,
8/17/2021,5621,p470493,"0022-81823,",01,40,THRU POS O. TOL IN BOTH THREADED HOLES  NEED TO ADJUST TO NOMINAL DISTANCE,Dimensional,CNC,Rework,Erik L. ,8/17/2021,8/26/2021,9,$0 ,"8/17/21 - Parts were released to Erik for rework. 
8/24/21 - Parts are back in QC for inspection.
8/26/21- Reworked and passed inspection.",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/17/2021,5622,P470491,"0022-81884, ",01,36,THRU POS OUT OF TOL. IN BOTH THREADED HOLES  NEED TO ADJUST TO NOMINAL DISTANCE,Dimensional,CNC,Rework,Erik L. ,8/18/2021,8/26/2021,9,$0 ,"8/17/21 - Parts were released to Erik for rework. 
8/24/21- Parts are back in QC for inspection. 
8/26/21- Reworked and passed inspection.",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/17/2021,5623,asm465945,0010-84316,03,2,Leaks ,Workmanship,Production(Fab),Rework,Marcelino,8/17/2021,9/9/2021,23,$0 ,"8/26/21 - Work in progress per Marcelino
9/7/21 - WIP
9/9/21 - Successfully reworked and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
8/17/2021,5624,SCI464770,0041-90121,02,36,"1) Inserts are not installed properly: either below or above surface of tanks.
2) There are something like rust (corrosion or oxidation) on inserts.",Workmanship,CTI International (Malaysia) Sdn Bhd,Rework Inhouse,Louie/Vladimir,8/17/2021,,-44425,,"8/17/21 - Parts were released to Louie rework. 
Rework Instruction: • Weld.
• Insert installation.
• In Process Inspection.
• Leak test.
• Clean.
• Stock
8/17/21- PC issued a rework no. RW474340
8/26/21 - Followed up with Louie regardign this ncr. 
9/7/21 - WIP
9/8/21 - Finished welding. Parts were released to assembly for insert installation.

9/23/21- WIP",Open,,,,,,,,,,,,,,,,,,,,,,,
8/19/2021,5625,P471912,K17270040,P01,1,Dimensional Issue,Dimensional,Nominal Machining LLC,RTV,Marco,8/19/2021,9/27/2021,39,$0 ,"8/19/21-An email was sent to Marco. 
8/24/21- Instructed Marco to follow up with the supplier regarding this ncr. 
8/31/21 - Marco followed up with the supplier regarding this NCR. 
9/7/21 - A follow up email was sent to Maro and the supplier.
9/13/21 - Replacement parts received from supplier.  
9/20/21 -  Pending inspection
9/22/21- The replacements part that we received from the supplier did not pass our QA inspection. QA issued NCR 5625-1
9/27/21 - Part is approved to use as is per customer request. Part has been released to cleaning. ",Closed,Rejected parts were Scrapped inhouse per supplier request,,,,,,,,,,,,,,,,,,,,,,
8/19/2021,5626,CP471589,0041-83493,07,1,EA 08/18: qty 1 (SN 2921-0004) rejected due to damage while installing 1x item 3. reference location Sh1 C6,Cosmetic,Production(Fab),Scrap,Vladimir,8/20/2021,8/20/2021,1,$910 ,8/20/21 - Part is not reworkable per Erik and Vladimir. DMR 2784. ,Closed,,,,,,,,,,,,,,,,,,,,,,,
8/19/2021,5627,P473082,0042-46475,02,1,Broken side,Workmanship,FABRICATION,Scrap,Marcelino,8/19/2021,8/19/2021,0,$25 ,8/19/21 - Part is not reworkable per Marcelino. DMR 2782,Closed,,,,,,,,,,,,,,,,,,,,,,,
8/20/2021,5628,CP471589,0041-83493,07,4,PARTS HAVE SPEC / FOREIGN OBJECT IN PLASTIC,Cosmetic,"Purchasing(IPI Plastics, Inc)",Scrap,Marco,8/20/2021,8/24/2021,4,"$3,640 ","8/20/21-An email was sent to Marco. 
8/24/21- Parts are not reworable. DMR  2785",Closed,,,,,,,,,,,,,,,,,,,,,,,
