Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,,Description of Defect,Defect Type,Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date,Days to complete," Cost 
(if any) ",Comments,Status ,
12/1/2021,5780,ASM463419,0090-10016,2,1,12,SH1 B8: Main key on J8141/J8181 BUF HD MTR connector is rotated 90°,Workmanship,DC Electronics,RTV,Nafees,12/1/2021,,0,0,"12/1/21 - An email was sent to Marco to notify the supplier.
12/15/21- An email was sent to Marco to follow up with the supplier regarding the LT for the part.
12/23/21- An email was sent to PC to fix the deleted sub operation. 
12/31/21- A follow up email was sent to Nafees. 
",Open,
12/3/2021,5781,MT-473549,0042-31724,2,1,1,Quote missed the addition of the 0250-52749 welding spec and not approved for the 0250-52749 welding spec. ,Workmanship,Quoting,Scrap,Gabby,12/3/2021,12/3/2021,0,"$1,548 ",12/3/21-Part is not reworkable per Gabby/Chin. DMR 2844,Closed,A copy was provided to ES to sign.
12/3/2021,5782,478511,0041-77455,3,1,1,"Part is damaged, RTV",Cosmetic,APPLIED MATERIALS,RTV,Marco,12/4/2021,12/16/2021,1,$406 ,"12/4/21 - An email was sent to Marco to notify the supplier. 
12/16/21- An email was sent to Marco and Gabby to follow up with the supplier. 
12/16/21- According to Joe close NCR as scrap and make a note that they are buy back from AMAT. 2851",Closed,
12/3/2021,5783,mt-rpm477475,515-A46865-010,B,5,5,"Sht 2, dr loc B8 s/b Ø.188+-.005 actual is Ø.194-.195.",dimensions,Eclipse Metal Fabrication,RTV,Marco,12/4/2021,,1,,"12/4/21 - An email was sent to Marco to notify the supplier. 
12/15/21- WIP
12/17/21- Replacement parts from supplier will arrive 12/20/21-Replacement  parts received. 
12/30/21- awaiting inspection. An email was sent to Edgard to inspect these parts. ",Open,
12/7/2021,5784,MT-477619,0040-82882,6,2,2,"Zone C6 should be .138+/-.005 is .125-.130
Zone C8 should be 1.250+/-.005 is 1.237",Workmanship,MARX DIGITAL MANUFACTURING,RTV,Marco,12/7/2021,,0,,"12/7/21 - An email was sent to Marco to notify the supplier. 
12/29/21- Supplier commit date 1/5/22",Open,
12/7/2021,5785,mt-477619,0040-82882,6,2,2,"Zone C6 should be .138+/-.005 is .125-.130
Zone C8 should be 1.250+/-.005 is 1.237",Workmanship,MARX DIGITAL MANUFACTURING,RTV,Marco,12/7/2021,void ,void,void,12/16/21This NCR 5785 was created by mistake by QC operator. This is a duplicate of NCR 5784. DMR 2852,Closed,
12/7/2021,5786,sci470151,0010-66750,2,1,30,19 parts is good ready for cleaning. 1 part received from stock have deep scratches ,Cosmetic,Assembly,Scrap,David N ,12/7/2021,12/20/2021,0,"$1,236 ","12/8/21 - Part is currently in Assembly area. An email was sent to David N and Marcelino
12/20/21- Part is not reworkable per David N. DMR 2855",Closed,Zonia will scrap the part
12/6/2021,5787,sci470338,0041-87615,4,30,200,"PARTS REJECTED DUE TO WORKMANSHIP/ COSMETIC ISSUES
PARTS HAVE TOOL MARKS AND SCRATCHES THROUGHT THE PARTS
PLEASE SEE PICTURES ATTACHED",Cosmetic,Nominal Machining LLC,RTV,Marco,12/7/2021,,1,,"12/7/21- An email was sent to Marco to notify the supplier. 
12/29/21- Per the supplier, only 30 parts had these sanding marks due to scratches while installing Inserts. Of the 30, we reworked and shipped 7 back. The rest were scrapped. The 87 that was sent back should be good.",Open,
12/6/2021,5788,475163,713-330153-003,C,8,8,"REJECTED/ C-5 STEP, 2.50 DIAMETER UNACCEPTABLE",Workmanship,Lathe,Rework,Lalo,12/7/2021,12/8/2021,,$0 ,"12/7/21- Parts were released to Lalo to be reworked. 
12/8/21- Reworked and passed inspection. ",Closed,
12/6/2021,5789,SCI470338,0041-87615,4,80,200,REJECTED/ NO TOOLING MARK ACCEPTABLE,Workmanship,Nominal Machining LLC,RTV,Marco,12/7/2021,,1,,"12/7/21- An email was sent to Marco to notify the supplier. 
12/29/21- Per the supplier, only 30 parts had these sanding marks due to scratches while installing Inserts. Of the 30, we reworked and shipped 7 back. The rest were scrapped. The 87 that was sent back should be good.",Open,
12/6/2021,5790,CP476802,0041-79463,7,1,68,SN 0128 REJECTED DUE TO COSMETIC ISSUES AND MINOR SCRATCHES,Cosmetic,FAB1,Rework,Vladimir,12/7/2021,12/28/2021,1,$0 ,"12/7/21- Currently being reviewed by Vladimir
12/14/21- Reworked per Vladimir
12/28/21- The parts is good and passed inspection.
The part now moved to clean.
",Closed,
12/8/2021,5791,rtm477893,0022-86555,3,4,4,"THRU POS  FOR 2.00-.05/-.02  STUD  I OUT OF TOLERANCE IN ALL  4 PARTS.
RADIUS 140.0 AND 150.9 +/-.25        THIS DIM. CAN NOT BE OBTAINED CORRECTLY DUE TO THE AREA OF THE CIRCUMFERENCE BEEN MEASURED IS TO SMALL.",dimensions,CNC,Scrap,Erik L,12/8/2021,12/20/2021,0,$932 ,"12/7/21- Currently being reviewed by Erik L
12/14/21- WIP
12/20/21- Parts are not reworkable per Erik L. DMR 2856",Closed,
12/8/2021,5792,SCI470573,0030-00527,3,1,376,1PC SCRAP ON SURFACE,Workmanship,"TRIPP ENTERPRISES,INC.",RTV,Marco,12/8/2021,,0,,"12/8/21- An email was sent to Marco to notify the supplier. 
12/30/21- An email was sent to Marco to follow up with the supplier regarding this NCR. ",Open,
12/8/2021,5793,P475914,119T0378-05,31,2,2,"Extra radius at zone D5, 1pc Zone B6 is out of spec",Workmanship,CNC,Rework,Erik L /Kenny,12/8/2021,,0,,"12/10/21- An email was sent to Erik to advise. 
12/14/21- 1 part scrap 12/23/21- A follow up email was sent to Kenny regarding this 
issue. David will submit SPS to customer",Open,
12/10/2021,5795,P477931,0015-10703,4,6,6,"EXPOSE MATERIAL, PAINT IS CHIPPING",Workmanship,Chemical Safety Technology Inc,RTV,Marco,12/10/2021,,0,,"12/10/21- An email was sent to Marco to notify the supplier. 
12/23/21- A follow up email was sent to Paresh regarding this issue.  ",Open,
12/10/2021,5796,P475444,4022.684.3434,,12,12,"SH1 E2, 90° Angle is 85.1° to 86.3°, Also SH1 D8 Chamfer 2x.216x45° is actual .2244 & .3216",dimensions,CNC,AS-IS,Erik L. ,12/10/2021,12/23/2021,0,0,"12/10/21- An email was sent to Erik to advise. Parts were released to Erik L. 
12/22/21- Per Erik, parts are currently being evaluated by Edgard 
12/23/21-Per REgina parts were approved by the customer to use the parts as is. ",Closed,
12/14/2021,5797,476735,0022-76769,1,3,3,Not complete radius.,Workmanship,Nominal Machining LLC,RTV,Marco,12/14/2021,,0,,"12/14/21- An email was sent to Marco to notify the supplier. Moved the parts to shipping. 
12/28/21-Replacement parts received from supplier were re-inspected and passed inspection. ",Closed,
12/14/2021,5798,476428,713-102458-009,E,8,10,"Sht 1, dr loc B5 s/b Ø11.716+-.012 actual is Ø11.691-11.693;  s/b Ø11.676+-.012 actual is Ø11.660-11.647.",dimensions,CNC,scrap,Erik L ,12/14/2021,12/28/2021,0,"$9,134 ","12/14/21- An email was sent to Erik to advise. Parts were released to Erik L. 
12/28/21-Parts are not reworkable per Erik L. DMR 2858",Closed,
12/14/2021,5799,CP477028,0041-83493,8,1,30,SN: 207 scrapped on surface. The part was dropped.,Cosmetic,QC,Scrap,Edgard,12/14/2021,12/14/2021,0,$910 ,12/14/21- Part is not reworkable per Edgard. DMR 2848,Closed,A copy was provided to ES to sign.
12/15/2021,5800,CP476802,0041-79463,7,1,68,"SN 0162
NonConf:5800 COSM COSMETIC",Cosmetic,Inner state/ Port Plastic,Scrap,Erik A,12/15/2021,12/16/2021,0,$910.00 ,"12/15/21 - An email was sent to Erik A, to evaluate the part.
12/16/21- Part is not reworkable per Erik A. DMR  2850",Closed,A copy was provided to ES to sign.
12/15/2021,5801,RPM475897,713-A70997,B,1,1,.02 THRU POS OUT OF TOLERANCE. IN  SEVERAL LOCATIONS.  HOLE SIZE IS  UNDER NOMINAL NO BONUS ADDED FOR THRU POS. READINGS RANGE FROM .035 TO .045.  HOLE SIZE  RANGES FROM.286 TO .291,dimensions,Quoting,Scrap,Marco/ Shalvin,12/15/2021,12/16/2021,0,$925.00 ,"12/15/21- An email was sent to Marco to notify the supplier.  Released to Simone (shipping)
12/15/21- Per Shalvin, since GSI made this parts to Rev A we should scrap the part.  This was an internal communication error. Scrap part in-house
12/16/21 - Scrap. DMR 2849",Closed,A copy was provided to ES to sign.
12/15/2021,5802,P478086,1035292,1,1,1,AFTER VERIFING OOT TRUE POSSITION PART FOUND TO BE OOT ON OVERAL THICKNESS SHEET 1 ZONE D3,dimensions,Sonic Engineering Inc,AS-IS,Marco / Ernie,12/15/2021,12/16/2021,0,0,"12/15/21- An email was sent to Marco to notify the supplier.  Released to Simone (shipping) 
12/16/21- Per Ernie, customer is ok using stock material (.75 thick) with p/n 1035292.""  ",Closed,
12/15/2021,5803,476885,0022-64750,2,4,4,"SH1 C4 Wrong Engraving, Subcon engraved ""AMG"" Instead of ""AWG"",",Workmanship,Nominal Machining LLC ,RTV,Marco,12/15/2021,,0,,"12/15/21- An email was sent to Marco to notify the supplier.  Released to Simone (shipping) 
12/31/21- instructed Marco to follow up with Nominal. ",Open,
12/16/2021,5804,p475935,0022-95364,1,3,2,Per print  Thru pos should be .025.     parts are out of tolerance  actual readings are.045 to .10,dimensions,CNC  ,Rework,Erik L /Kenny,12/16/2021,12/22/2021,0,,"12/16/21 - An email was sent to Erik A, to evaluate the part. 
12/22/21 - Per Edgard, the tolerance in question has been opened up to .05, bringing the part into print.  SPS-532802",Closed,
12/16/2021,5805,478879,0041-12760,3,85,183,"EA 12/16: qty 98 ok to release back to inventory
qty 85 rejected due to missing hardware item #3 (4x 3500-59011, M3 pemnuts)",Functional,CENTRAL TECH INCORPORATION VIETNAM COMPANY LIMITED,Rework In-house,Olga/Vladimir,12/17/2021,,1,,"12/16/21 - An email was sent to Olga/Vlad to rework these parts. 
12/31/21- WIP",Open,
12/20/2021,5807,rtm476426,0042-47983,2,39,41,dimension 14.10 -.50/+2.5,DImensions,"T&H Manufacturing, Inc",RTV,Marco,12/20/2021,,0,,12/20/21- An email was sent to Marco to notify the supplier.  Released to Simone (shipping) ,Open,
