Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,JOB QTY,Description of Defect,Defect Type,Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Days to Close," Cost 
(if any) "
1/2/2021,5113,462055,713-031576-803,A,1,2,Sheet 2; D8 measure 9x .25 +/- .02 actual  .133,Dimension,Programming ,Scrapped,Erik/Kenny,1/4/2021,2,$340.96 
1/4/2021,5114,p463708,0022-26167,2,3,3,"Parts rejected due to not meeting print
please see sheet 1 zone D2, feature .006±.001 is missing",Workmanship,CNC,Scrapped,Erk/Olga,1/4/2021,0,$810 
1/4/2021,5115,P462304,0022-77996,1,4,32,"Deep tool impressions on material. 
Pls see photos for details",Cosmetics,QA,As-is,David Q./Justin,1/4/2021,0,0
1/5/2021,5116,RPM463972,713-A42751-001,A,14,15,"Parts do not meet print 
please see sheet 1 zone B8 125.0 ±0.5  actual is between 123.74/126.08 and zone C8 73.0±0.5 actual is between 74.02/74.54
",Dimension,Nominal Machining LLC,Scrapped,Marcelino,1/5/2021,0,$0 
1/5/2021,5117,ASM459494,0021-82726,2,7,100,"PARTS REJECTED FOR MATERIAL CONTAMINATION
PICTURES ON FILE",Cosmetic,"DONG QUANG Mechanical Electrical Co., LTD",scrapped,Marco,1/5/2021,0,0
1/6/2021,5118,P461818,0042-35340,3,3,4,Parts are broken/damged. ,Cosmetic,Applied Material,Scrapped,Marco,1/6/2021,0,0
1/6/2021,5119,462952,713-340040-001,C,4,4,Parts missing engraving on 1 side (note 3),Workmanship,CNC,Rework,Erik,1/6/2021,0,0
1/8/2021,5120,RPM463078,713-148897-031,A,6,6,Missing engraving,Workmanship,A&TPMI,Rework In-house,Marco/Erik,1/8/2021,0,0
1/9/2021,5121,RPM463874,713-A48386-001,A,1,1,"Flatness is oot .100""",Dimensional,A&TPMI,Scrapped/RTV,Marco,1/9/2021,0,0
1/9/2021,5122,464017,0042-37007,1,1,3,6.100+.020/-.000 IS 6.199 AND 5.813+.020/-.000 IS 5.904,Dimension,Inspection/Assy,As-is,David Q./Justin,1/12/2021,3,0
1/10/2021,5123,461234,0022-29317,8,6,6,Parts failing dimensional inspection. Chamfers angle and dim. Are out of tolerance. ,Dimension,CNC,As-is,Erik,1/12/2021,2,0
