Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,,Description of Defect,Defect Type,Suspected Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date,Days to complete,"Cost 
(if any)",Comments,Status ,
7/6/2021,5568,sci466833,0041-85132,6,5,20,Window area has nicks scratches and pits,Cosmetic,Material issue,rework,"Vladimir/
Marcelino",7/7/2021,,-44383,0,"7/6/21 - WIP per Vladimir
7/22/21- Rework in process
8/4/21 - - Rework in process",Open,
7/6/2021,5569,CP471996,0041-94029,10,7,5,"THRU POS IN MOS OF HOLE  LOCATIONS ARE OFF 
DIM   .239 +.001/.00   ARE UNDERSIZE .238  DIM .276 +.00/-.002 UNDERSIZE ACTUAL .2735",Dimensional,CNC,Scrap,Erik,7/7/2021,7/13/2021,7,$875.00,"7/6/21- Parts are currently being reviewed by Erik. 
7/13/21 - Parts are not reworkable. Scrapped DMR 2755",Closed,
7/6/2021,5570,MT-470011,0042-31724,02,1,3,DIMENSION OUT OF TOLERANCE,Dimensional,Eclipse Metal Fabrication,As-is,Marco,7/7/2021,7/27/2021,21,0,"7/7/21- An email was sent to Marco to notify supplier. 
7/20/21 - Parts were released to Edgard to verify the dimension (3.500) per Supplier request. 
7/21/21 - a follow up email was sent to Edgard. 
7/26/21 - Instructed Marco to follow up with supplier in bringing back the part to CHawk. 
7/27/21 - Per Gabby AMAT has accepted OOT condition ",Closed,
7/6/2021,5571,469249,713-102458-005,E,5,5,"Sht 1, dr loc B5 dims s/b Ø11.696+-.012 actual is Ø11.681, s/b Ø10.856+-.015 actual is 
Ø10.837-10.838, s/bØ11.656+-.012 actual is 11.604-11.6",Dimensional,CNC,Scrap,Erik,7/7/2021,7/15/2021,9,"$2,375.00","7/6/21- Pending action from Erik. 
7/14/21 - Inspector will re-inspect the parts again,since it initially checked parts without proper tooling.
7/15/21 - It was determined the parts are not reworkable per Erik. DMR 2760
7/19/21 - Scrapped parts were shipped back to vendor for evaluation. ",Closed,
7/12/2021,5573,RPM468556,515-290952-001,B,2,5,"PART SCRATCHED AT PENTAGON CLEANING REWORK WAS DONE 2X IF DONE A 3RD PARTS WILL GET STRESS CRACKS THEREFORE PARTS CANT BE REWORKED 
PARTS TO BE SCRAP",Workmanship,Pentagon,RTV,Marco,7/12/2021,7/12/2021,0,526,7/12/21 - Parts to be scrapped. Parts are non-reworkable. DMR 2753,closed,
7/12/2021,5574,MT-P471561,0022-83919,03,1,27,"SHEET  1 OF 1 ZONE: G-8 SPEC: 9.52 
ACTUAL : 9.16",Dimensional,QC,Scrap,Vladimir/VINOD,7/12/2021,7/27/2021,15,$0.00,"7/12/21 - Part was released to Vladimir for review. 
7/21/21 - A follow up email was sent to Vladimir regarding this issue. 
7/26/21 - An email was sent to Vinod to request an update. 
7/27/21- Part is not reworkable per Vinod. DMR 2768",Closed,
7/12/2021,5575,rw472663,0195-06854,3,1,1,"Motor has no motion during testing.
Model: R2AA06020FXP3XM
SERIAL #10191000241E
Lot:  20-47-49",Functional,Sanyo Denki,RTV,Gabby,7/12/2021,,-44389,0,"7/12/21 -  An email was sent to Nafees to request RMA from the supplier.  
7/21/21 - Follow up email was sent to Gabby and Marco regarding this NCR. ",Open,
7/12/2021,5576,471433,0022-78129,02,15,15,"PARTS REJECTED DUE TO OD BEING OVERSIZE 
PLEASE SEE SHEET 1 ZONE D2 Ø5.570±.010 ACTUAL IS Ø5.830/Ø5.840",Dimensional,P.R Hoffman,RTV,Marco,7/12/2021,,-44389,0,"7/12/21 -  An email was sent to Marco/Wendy to notify supplier. 
7/20/21 - Parts were delivered to supplier. 
8/3/21 -  Replacements parts received are still out of spec per Karen. 
8/6/21 - No response from supplier. . ",Open,
7/13/2021,5577,470802,0042-01927,03,4,9,1.000 ±.005 IS .99,Dimensional,CNC ,Scrap,Erik,7/13/2021,7/14/2021,1,"$3,132.00",7/13/21- Pending action from Erik. 7/14/21 - Parts are not reworkable per Erik. DMR 2756 ,Closed,Form provided to Estuardo to sign
7/13/2021,5578,as-mtp471764,570050369,A,21,21,"PARTS FAILING DIMENSIONAL INSP.
C SINKS PER PRINT SHOULD BE 6.0 +/-.1   NAGLE SHOULD BE 90*   ACTUAL DIM IN ALL  AF THEM IS 6.23 TO 6.25  ANGLE IS 87.5 ONLY
DIAM OF HOLE SHOULD BE 8.0 +.1/-0.0  ACTUAL DIM IN ALL 6 HOLES IS 8.105 TO 8.12",Dimensional,Nominal,RTV,Marco,7/12/2021,,-44390,0,"7/13/21 -  An email was sent to Marco and Wendy regarding this issue. 
7/20/21 - A follow up email was sent to Wendy and Marco. 
7/26/21- NCR report was upated to reflect customer request for rework. 
",Open,
7/14/2021,5579,469174,"15-431469-00,",D,1,56,"DAMAGED PART WITH DEEP NICKS, NO POSSIBLE WAY TO REWORK PART TO BE SCRAP",Cosmetic,FAB,Scrap,Marco,7/14/2021,7/15/2021,1,$0.00,7/15/21 - Part is not re-workable. DMR 2757,Closed,
7/14/2021,5580,469021,15-431469-00,D,2,56,"SCRATCHES/SPECKS AND DISCOLORATION 
PARTS ESD COATED NO SUCCESS REWORKING COTED PARTS 
2PCS TO BE SCRAP",Cosmetic,"SciCron Technologies, LLC",Scrap,Marco,7/14/2021,7/15/2021,1,$0.00,7/15/21 - Part is not re-workable.DMR 2758,Closed,
7/14/2021,5581,465598,15-431463-00,E,2,206,"PART REJECTED FOR COSMETICS, PARTS TO BE SCRAP FOR DEEP SCRATCHES",Cosmetic,"SciCron Technologies, LLC",Scrap,Marco,7/14/2021,7/15/2021,1,$900.00,7/15/21 - Part is not re-workable. DMR2759,Closed,Form provided to Estuardo to sign
