Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,,Description of Defect,Defect Type,Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date,Days to complete," Cost 
(if any) ",Comments,Status 
6/1/2021,5524,466514,15-431468-00,E,6,24,"3pcs to cleaning 
6pcs rejected due to nicks, scrataches and specks",Cosmetic,"SciCron Technologies, LLC",Scrapped,Marco/Vladimir,6/2/2021,6/8/2021,6,0,"6/2/21- Vladimir was assigned to rework the parts inhouse.
 6/8/21- it was determined the parts are not rworkable. 
2732",closed
6/2/2021,5525,460211,0022-27050,4,1,1000,"parts rejected due to missing feature 
1pcs is missing allen head see sheet 1 zone ",Dimensional,CONDOR MANUFACTURING,RTV,Marco,6/2/2021,6/8/2021,6,0,"6/2/21- Parts was released to Judy (supplier). 
6/4/21- Replacement part received. ",Closed
6/2/2021,5526,466889,0015-10703,03,5,5,"Recieved wrong part 
should be 0015-10703 but physically received 0015-10779
",Workmanship,Chemical Safety Technology Inc,As-is,Marco,6/2/2021,6/17/2021,15,0,"6/2/21- An email was sent to Marco to notify supplier regarding this issue. 
6/15/21- pending action from supplier
6/17-21- Customer Approved",Closed
6/3/2021,5527,asm463065,0021-61063,02,1,50,DAMAGED IN THE SIDE CORNER (Accidently dropped during inspection. ,Workmanship,QC,Scrapped,Vlad/Marcelino,6/3/2021,6/4/2021,1,0,"6/3/21- An email was sent to Vlad/June/Olga to see if this can be reworked inhouse. 
6/4/21- Part is not reworkable. 2731",Closed
6/3/2021,5528,RPM469539,839-A32354-002,B,3,3,COUNTER SINK Ø.420±.010 IS .390,Dimensional,Nominal Machining LLC,RTV,Marco,6/3/2021,6/16/2021,13,0,"6/3/21- An email was sent to Erik/Kenny to see if this can be reworked inhouse. 
6/8/21-It was determined that these parts are not reworkable inhouse. Parts were delivered to supplier
6/15/21- Reworked parts received from supplier and passed inspection. 
",Closed
6/3/2021,5529,CP467059,0041-83493,07,1,6,Qty 1 blank found to have material defects per 0250-63743,Workmanship,quote ,Scrapped,Estuardo/Erik A,6/14/2021,6/14/2021,0,910,"6/14/21 - Part is not reworkable. DMR 2737
Part was released to Erik A, as a set up piece.  ",closed
6/4/2021,5530,P469288,0022-70736,1,3,3,"PARTS MISSING ENGRAVED S/N PER NOTE 7
-16 FINISH ON HOLES IS OUT OF SPECS (tool marks through entire length of cylinder) SEE PRINT ZONE D3, D4, A2 &  B7, 
- PARTS HAVE BURRS ON THIS MENTIONED HOLE ALL THE WAY TO THE END WHEN TOOL BREAKS THRU
- MISSING 2X SPHERICAL DIA.  .255 Zone A-3 AT INTERSECTION
-MISSING SPHERICAL DIA.  .170 zone D-4 AT INTERSECTION",Workmanship,MARX DIGITAL MANUFACTURING,Scrapped,Marco/Erik,6/4/2021,6/14/2021,10,1765,6/4/21 - Erik was assigned to rework the parts in house this one time for supplier. 6/14/21 - Parts are not reworkable per Erik. DMR 2739. A new job order has been issued ,closed
6/8/2021,5531,468876,713-035108-005,B,100,100,THE TAP 4-40 UNC 2B NO GO THRU LOCATION D,Workmanship,Nominal Machining LLC,RTV,Marco,6/9/2021,7/6/2021,27,0,"6/9/21 - An email was sent to Marco to notify supplier.
Parts were picked up by supplier. 
6/24/21- A follow up email was sent to supplier regarding this issue. 
6/24/21 - Reworked parts from supplier received and pending inspection. 
7/6/21 - Passed inspection.",closed
6/9/2021,5532,SCI467124,0041-77445,6,1,20,UNACCEPTABLE WELD IN CORNER CAUSING A STEP,Cosmetic,Hill Manufacturing Co. LLC,RTV,Marco,6/9/2021,7/6/2021,27,0,"6/9/21 - An email was sent to Marco to notify supplier. Qty was entered 10 instead of 1pc. 
6/15/21 - This part was delivered to the wrong supplier (Eclipse) by mistake. Waiting for the part to be returned back to us. 
6/23/21- Correct part was returned to Chawk and notified supplier to schedule pick up. 
7/6/21 -  Replacement part received from supplier and passed inspection. Accepted 10 pcs, it was noted on Epicor that 10 pcs was accidentally entered by inspector instead of 1 pc. ",closed
6/9/2021,5533,SCI465272,0041-77573,4,1,30,FOREIGN OBJECT UNDER PAINT,Cosmetic,Eclipse Metal Fabrication,RTV,Marco,6/9/2021,6/9/2021,0,0,"6/9/21 - An email was sent to Marco to notify supplier.
6/15/21-  Waiting for the part to be picked up by supplier. ",Open
