Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,,Description of Defect,Defect Type,Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date,Days to complete," Cost 
(if any) ",Comments,Status ,
11/3/2021,5725,RTM475901,0022-70095,3,3,3,Extra radius zone F5,Workmanship,Nominal Machining LLC,RTV,Marco,11/3/2021,11/12/2021,0,0,"11/3/21 - An email was sent Marco to notify the supplier.
11/4/01- Per Justin the radius was approved by the customer. The parts were made to print with no issue.  The inspector was unaware of the approved SPS.
11/12/21- Parts released to engraving.NCR 5725 closed",Closed,
11/3/2021,5726,MT-471042,0015-07316,4,1,47,"EA 11/02: damaged part
qty 1 gasket found broken into two piece",Cosmetic,QC,Scrap,Gabby ,11/3/2021,11/29/2021,0,$108.23 ,11/3/21 - An email was sent Marco to notify the supplier.  Part was sent to supplier damaged. DMR 2842,Closed,
11/3/2021,5727,ASM468411,0090-10016,2,2,20,"SH1 B8: Main key on J8141/J8181 BUF HD MTR connector is rotated 90°, cannot install onto assembly due to 90° rotation of elbow connector (clearance issue)",Workmanship,DC Electronics,RTV,Marco,11/3/2021,,0,,11/3/21 - An email was sent Marco to notify the supplier. ,Open,
11/4/2021,5728,476790,713-256314-004,C,10,10,Missing Part Mark,Workmanship,Quoting,Rework,Vladimir /Edgard,11/4/2021,,0,,"11/4/21 - An email was sent Marco to notify the supplier.
11/5/21 - Supplier did not quote this job for part marking. Partsto be reworked inhouse. 
11/17/21- Reworked and pending inspection,
11/22/21 - Pending inspection. ",Open,
11/5/2021,5729,474626,0022-78868,3,6,10,"6 pcs  failing for thru pos.  per specs   Thru pos. should be  .1  
In all 6 pcs readings range from .2 to .45",Dimensional,CNC,AS-IS,Kenny/Erik L,11/5/2021,11/12/2021,0,0,"11/5/21- An email was sent to Vladimir and Erik L. regaridng this issue. 
11/12/21- Customer have agreed that the true position called out should be relaxed. Email attached will have details of this agreement. In addition, CNC adjusted the programs to cut slot diameters more to the higher tolerance to maximize bonus tolerances for future runs.",Closed,
11/5/2021,5730,ASM466595,0041-12760,3,84,100,"INVENTORY PURGE
4x pemnuts (item 2, 3500-59011) not installed per print
parts also not part marked per print",function,CENTRAL TECH INCORPORATION VIETNAM COMPANY LIMITED,RTV,Marco,11/5/2021,,0,,"11/5/21 - An email was sent Marco to notify the supplier. 
11/15/21- A follow up email was sent to Marco. ",Open,
11/5/2021,5731,476628,713-256314-004,C,11,11,PARTS QUOTED COMPLET BUT RECEIVED WITH NO PART MARK,Workmanship,Quoting,Rework,Vladimir/Edgard,11/5/2021,,0,,"11/5/21 - Parts were released to Vladimir .  
11/17/21- Reworked and pending inspection. ",Open,
11/5/2021,5732,472206,CSN-0149-02 ,PR.1,2,9,Ø24 is ±.13 is 24.16,Dimensional,CNC,scrap,Erik L,11/5/2021,11/18/2021,0,"$1,382.00 ","11/5/21- currently being reviewed by PERi and Erik L.
11/15/21 - Pending action from Erik and Peri.
11/18/21- Parts are not reworkable per Peri and Erik L. DMR 2835",Closed,
11/5/2021,5733,472204,CSN-0148-01,G,2,9,Ø24±.13 is 24.19,Dimensional,CNC,scrap,Erik L,11/5/2021,11/18/2021,0,"$1,382.00 ","11/5/21- currently being reviewed by PERi and Erik L.
11/15/21 - Pending action from Erik and Peri
11/18/21- Parts are not reworkable epr Peri and Erik. DMR 2836",Closed,
11/8/2021,5734,475580,2532-10069,2,15,15,Part do not meet print specs.    several dimensions out of tolerance,Dimensional,Lathe,Pending action from DQ,Lalo/DQ,11/8/2021,,0,,"11/8/21 - An email was sent Lalo
11/15/21- Assigned to a new inspector to verify the measurements     
11/22/21- Per DQ customer said they have not experienced any problems with what we shipped.  Customer wants data on variation to update dwg.   ",Open,
11/8/2021,5735,P476522,0270-09572,3,2,2,Roughness is out of spec,Workmanship,Geo Manufacturing,RTV,Marco,11/8/2021,11/10/2021,0,,"11/8/21 - An email was sent Marco to notify the supplier. 
11/9/21- Replacemenht received per Marco. 
11/10/21- Passed inspection",Closed,
11/8/2021,5737,MT-RPM475485,715-A39209-001,B,16,16,"EA 11/08: qty 16 rejected
Reference Sh2 A6: part is missing Ø 1.5 thru hole",Workmanship,IFQ Precision,RTV,Marco,11/8/2021,11/15/2021,0,0,"11/8/21 - An email was sent Marco to notify the supplier. 
11/15/21- reworked parts from supplier re-inspected and released to next op",Closed,
