,Date,NCR_num,Job_Number,Part_Number,Rev,Qty,Defect,Defect_Type,Category
0,1/2/2021,5113.0,462055,713-031576-803,A,1.0,Sheet 2; D8 measure 9x .25 +/- .02 actual  .133,Dimension,Cosmetic
1,1/4/2021,5114.0,p463708,0022-26167,2,3.0,"Parts rejected due to not meeting print
please see sheet 1 zone D2, feature .006±.001 is missing",Workmanship,Cosmetic
2,1/4/2021,5115.0,P462304,0022-77996,1,4.0,"Deep tool impressions on material. 
Pls see photos for details",Cosmetics,Material
3,1/5/2021,5116.0,RPM463972,713-A42751-001,A,14.0,"Parts do not meet print 
please see sheet 1 zone B8 125.0 ±0.5  actual is between 123.74/126.08 and zone C8 73.0±0.5 actual is between 74.02/74.54
",Dimension,Cosmetic
4,1/5/2021,5117.0,ASM459494,0021-82726,2,7.0,"PARTS REJECTED FOR MATERIAL CONTAMINATION
PICTURES ON FILE",Cosmetic,Material
5,1/6/2021,5118.0,P461818,0042-35340,3,3.0,Parts are broken/damged. ,Cosmetic,transit damaged
6,1/6/2021,5119.0,462952,713-340040-001,C,4.0,Parts missing engraving on 1 side (note 3),Workmanship,Cosmetic
7,1/8/2021,5120.0,RPM463078,713-148897-031,A,6.0,Missing engraving,Workmanship,Cosmetic
8,1/9/2021,5121.0,RPM463874,713-A48386-001,A,1.0,"Flatness is oot .100""",Dimensional,GD&T
9,1/9/2021,5122.0,464017,0042-37007,1,1.0,6.100+.020/-.000 IS 6.199 AND 5.813+.020/-.000 IS 5.904,Dimension,Cosmetic
10,1/10/2021,5123.0,461234,0022-29317,8,6.0,Parts failing dimensional inspection. Chamfers angle and dim. Are out of tolerance. ,Dimension,dimension
11,1/13/2021,5124.0,464234,0021-10368,P1,1.0,45 CHAMFER ON HE ID IS A LITTLE BURNED.,Cosmetic,Cosmetic
12,1/15/2021,5125.0,462714,839-A08080-001,A,5.0,"PARTS FAILING  DIM. INSPECTION.
PER PRINT DIAM 5.850 +/-.01  ACTUAL READING IS 5.871 TO 5.874.",Dimension,dimension
13,1/15/2021,5126.0,P460768,0040-45593,11,2.0,Dimension out see CMM report hole location out of print,Dimension,dimension
14,1/16/2021,5127.0,463738,713-088691-021,A,3.0, ,Dimension,Not Known
15,1/16/2021,5128.0,461171,0022-55281,3,3.0,"SEVERAL DIMENSIONS OUT OF TOL.    13.350 +0/-.002   ACTUAL READINGS ARE 13.369
14.220 +0/-.005  ACTUAL  14.222
14.14 +.01/-0      ACTUAL IS 14.15
R32.50 +/-.02      ACTUAL  IS 32.55",Dimension,dimension
