Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,Description of Defect,Defect Type,Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date,Days to complete," Cost 
(if any) ",Comments,Status ,Corrective Action
2/1/2022,5886,478774,1034565,1,5,"Sheet 1, dr loc C6 dims s/b .713 +/-.005 actual is .653",Dimension,QA,UAI,Erik L.,2/1/2022,2/10/2022,0, $-   ,"2/1/22- Parts were released to Erik L to rework. 
2/10/22- Parts were re-verified by a senior inspector and determined parts were made to print. ",Closed,
2/1/2022,5887,479750,713-284202-001,B,20,Missing Ink stamp per note 3. ,workmanship,CONDOR MANUFACTURING,RTV,Marco,2/1/2022,2/14/2022,0, $-   ,"2/1/22-Email was sent to Marco to notify the 
 2/14/22-Replacement parts received, re-inspected and passed inspection on 2/10/22 together with NCR 5888. ",Closed,
2/1/2022,5888,479750,713-284202-001,B,9,MISSING INK STAMP PER NOTE 3. TOTAL 29 PCS MISSING INK STAMP (NC5887 - 20PCS AND THIS NC FOR 9PCS),workmanship,Quoting,Rework,Marco,2/1/2022,2/10/2022,0, $-   ,"2/1/22-Parts are going to supplier for rework.  Part marking was not quoted for this job. Parts will be sent out for Park marking 
2/10/22- Reworked and passed inspection.",Closed,
2/1/2022,5889,MT-P478951,0022-90192,2,10,Reference B5: Parts missing 16 circular finish (lay pattern) surrounding Ø .380 thru hole,workmanship,Nominal,Rework In-house,Marco,2/1/2022,2/11/2022,0, $-   ,"2/1/22-Email was sent to Marco to notify the . Update: Per Justin parts needs to be reworked inhouse. Going forward supplier will need to take care of this action. 
Update: Parts were reworked internally.
2/11/22- Reworked and passed inspection.",Closed,"Not quoted without polishing and not able to apply lay pattern.. 
CA -Quote sale has to include Polishing inhouse "
2/2/2022,5890,479748,713-256314-007,B,25,Intersection from radius .13 to front or side surface is not smooth.,workmanship,Fabrication,Rework,Marcelino,2/2/2022,2/4/2022,0, $-   ,"02/04/22 - Parts were successfully reworked in-house, re-inspected and passed inspection. ",Closed,
2/4/2022,5891,rtm476355,0042-49431,1,1,"Item 3: SHT4 C3 should be 4.0+/-.5 is 4.96, B3 should be 19.0 is 20.40",workmanship,CNC,Rework,Erik L.,2/4/2022,2/4/2022,0, $-   ,"02/04/22- Reworked, re-inspected and passed inspection. ",Closed,
2/4/2022,5892,470605,839-A02264-008,A,1,"EA 02/03: qty 1 rejected during top level assembly, part was issued from inventory.
1x found with crack in item #1 near corner of item#2 when bonded together
",Cosmetic,Assembly,Scrap,Erik A,2/4/2022,2/4/2022,0,$848.00 , 2/4/22- Part cannot be reworked as it is damaged and will be scrapped per Erik A. ,Closed,
2/7/2022,5893,sci476557,0010-59217,5,2,"Part  0041-77571:
1pc got damage on surface.
1pc discoloration",workmanship,Assembly,Rework,Vlad/Louie (Assy),2/7/2022,,0,,2/7/22-Pending action from Vlad,Open,
2/7/2022,5894,480106,515-253787-001,C,13,ZONE D8 SHOULD BE 3.533 +/- .002 IS OUT (3.5362 - 3.5389),workmanship,CONDOR MANUFACTURING,RTV,Marco,2/7/2022,2/21/2022,0, $-   ,"2/7/22-Email was sent to Marco to notify the .
2/9/22- The replacement parts were verified by Edgard and found oot. Update: Supplier came to pick up the rejected parts. 
2/21/22- Replacement parts received from the supplier were reinspected and passed inspection.",Closed,
2/7/2022,5895,479153,713-299339-001,A,1,SCRACTHES,Cosmetic,CNC,Rework,Marcelino,2/7/2022,2/21/2022,0, $-   ,"2/7/22- Part was released to Marcelino to rework. 
2/19/22-Reworked and pending inspection. 
2/21/22- Passed inspection. ",Closed,
