Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,Description of Defect,Defect Type,Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date,Days to complete,"Cost 
(if any)",Comments,Status 
1/4/2022,5828,sci470345,0051-04883,2,1,Missing item 1 per BOM,Workmanship,"Crist Group, Inc",RTV,Marco,1/4/2022,1/31/2022,27,$0.00 ,"1/4/22-Email was sent to Marco to notify the supplier.
1/18/22- Instructed Marco to follow up with the supplier.  1/31/22- supplier replacement part received, reinspected and passed inspection. ",Closed
1/4/2022,5829,473253,0041-76110,5,1,1 scrap from lathe,Workmanship,Fabrication,Scrap,Olga,1/4/2022,1/14/2022,10,$248.80 ,"1/4/22-Email was sent to Lalo to disposition the part.  
1/12/22- Multiple email was sent to Olga regarding this issue. 
1/14/22- Part is not reworkable epr Olga. DMR 2871",Closed
1/4/2022,5830,ASM465201,0022-05351,2,5,EA 01/04: qty 5 rejected; incorrect part shipped by supplier,Workmanship,Bay Seal Co.,RTV,Nafees,1/4/2022,1/18/2022,14,$0.00 ,"1/4/22-Email was sent to Nafees to notify the supplier. 
1/18/22- Supplier  will arrange a pick up of the wrong Prts and deliver correct ones.Created new job ASM465201-1 for NCR# 5830, 5pcs. DMR 2872",closed
1/5/2022,5831,sci471403,0051-04872,3,1,"1pcs found with item 1 broken, please see picture on file",Functional,QC,Scrap,Marco,1/5/2022,1/21/2022,16,$130.75 ,"1/5/22-Email was sent to Marco to notify the supplier. 
1/6/22- Part will be returned to the supplier for evaluation and repair. Simon was instructed to return the part back. 
1/21/22- Part to be scrapped per Marco. DMR 2878",closed
1/5/2022,5832,SCI470290,0022-16225,3,1,"PART REJECTED DUE TO COSMETIC ISSUES
PART HAS DEEP NICKS ON THE INSIDE OF THE PART IN SHEET 1 ZONE A8
PLEASE SEE PICTURES ON FILE",cosmetic,"TRIPP ENTERPRISES,INC.",RTV/Scrap,Marco,1/5/2022,1/6/2022,1,$93.47 ,"1/5/22-Email was sent to Marco to notify the supplier
1/6/22- Supplier refuses to acknowledge fault.  Part is not reworkable. DMR2863. ",closed
1/6/2022,5833,SCI457287,0041-77573,4,1,1 unit has scratched and bubble on surface.,Workmanship,Eclipse Metal Fabrication,RTV,Marco,1/6/2022,1/27/2022,21,Components parts. ,"1/6/22-Email was sent to Marco to notify the supplie
1/18/22- Instructed Marco to follow up with the supplier. 
1/27/22- No replacement was received for this NCR. Closing this job per Alan's request. 2883",closed
1/6/2022,5834,476725,0022-07469,3,1,SCRATCHED ON SURFACE,Workmanship,Deburr,Scrap,Vladimir/ Olga,1/6/2022,1/10/2022,4,$262.00 ,1/10/22- Part is notreworkable per Vladimir. DMR 2865,closed
1/6/2022,5835,472264,713-262060-004,B,8,Parts were rejected back from cleaning for scratches not meeting surface call out of note 5,cosmetic,Fabrication,Scrap,Vladimir/ Olga,1/6/2022,1/10/2022,4,$912.00 ,"1/10/22- Parts are notreworkable per Vladimir. DMR2866. 
Linked demand to job 478831",closed
1/6/2022,5836,sci474463,0041-77571,6,4,"Per note 8: Cosmetic per applied material 0250-01019 appendix D code II-B. Should be four, max diameter .02 x .09 and .060. Parts do not meet requirement.",Workmanship,CORTEC PRECISION SHEET METAL INC.,RTV,Paresh/Gabby,1/6/222,1/31/2022,#VALUE!,$0.00 ,"1/6/22-Email was sent to Marco/Paresh to notify the supplier. RMA13697
1/18/22- A follow up email was sent to Gabby/Marco
1/31/22- Supplier replacement parts received, re-inspected and passed inspection.",Closed
1/10/2022,5837,479610,0042-32106,3,3,"Item 2 doesn't comply with Cosmetic per Note 12: AMAT 0250-01019 Appendix A, Code III-C. Parts should be scrap",cosmetic,Production,Scrap,Tafara,44571,1/12/2022,2,"$2,175.00 ",1/12/22- Scrap per Tafara. DMR 2868,Closed
