,Date,NCR_num,Job_Number,Part_Number,Rev,Qty,Defect,Defect_Type,Category
0,1/4/2022,5828.0,sci470345,0051-04883,2,1.0,Missing item 1 per BOM,Workmanship,Not Known
1,1/4/2022,5829.0,473253,0041-76110,5,1.0,1 scrap from lathe,Workmanship,Not Known
2,1/4/2022,5830.0,ASM465201,0022-05351,2,5.0,EA 01/04: qty 5 rejected; incorrect part shipped by supplier,Workmanship,Incorrect Part
3,1/5/2022,5831.0,sci471403,0051-04872,3,1.0,"1pcs found with item 1 broken, please see picture on file",Functional,Not Known
4,1/5/2022,5832.0,SCI470290,0022-16225,3,1.0,"PART REJECTED DUE TO COSMETIC ISSUES
PART HAS DEEP NICKS ON THE INSIDE OF THE PART IN SHEET 1 ZONE A8
PLEASE SEE PICTURES ON FILE",cosmetic,Not Known
5,1/6/2022,5833.0,SCI457287,0041-77573,4,1.0,1 unit has scratched and bubble on surface.,Workmanship,surface finish
6,1/6/2022,5834.0,476725,0022-07469,3,1.0,SCRATCHED ON SURFACE,Workmanship,surface finish
7,1/6/2022,5835.0,472264,713-262060-004,B,8.0,Parts were rejected back from cleaning for scratches not meeting surface call out of note 5,cosmetic,surface finish
8,1/6/2022,5836.0,sci474463,0041-77571,6,4.0,"Per note 8: Cosmetic per applied material 0250-01019 appendix D code II-B. Should be four, max diameter .02 x .09 and .060. Parts do not meet requirement.",Workmanship,Not Known
9,1/10/2022,5837.0,479610,0042-32106,3,3.0,"Item 2 doesn't comply with Cosmetic per Note 12: AMAT 0250-01019 Appendix A, Code III-C. Parts should be scrap",cosmetic,Not Known
10,1/11/2022,5838.0,RTM476426,0042-47983,2,2.0,Surface Finish Should Be .40 (16 Finish) and is  .80 (32 Finish),Dimension,surface finish
11,1/11/2022,5839.0,476289,504-078740-400,C,1.0,"RELEASED TO   O.P   (PENTAGON)
1 UNIT   DIM 12.740 +/-.002  OUT OF TOL.   ACTUAL DIM. IS 12.7435",Dimension,dimension
12,1/11/2022,5840.0,ASM474314,0022-10615,5,100.0,DIM. 1.1044 +/ -.0003   ACTUAL DIMENSION  RANGES FROM  1.105  TO 1.1056,Dimension,dimension
13,1/11/2022,5841.0,sci476693,0041-82718,3,20.0,Many holes are out of posion,Workmanship,Not Known
14,1/11/2022,5842.0,asm475188,0022-55447,1,1.0,"To clean.
1 Unit: Damage on surface zone G3",cosmetic,surface finish
15,1/11/2022,5843.0,CP467061,0041-93719,11,5.0,"Part should not have a step on the circumference SH1 B3 of 13.060,
Also Section on SH4 A7 Detail AB was Sanded and Created as slope that shold not be there.
NonConf:5843 DIME DIMENSIONAL",Dimension,dimension
16,1/11/2022,5844.0,cp478223,0021-34335,2,5.0,"SH1 C3, Inside Diameter should be 2.452 +.000/-.004, actual is 2.454 to 2.455.",Dimension,Not Known
17,1/11/2022,5845.0,rpm474885,713-002617-032,C,7.0,"per shawn 1pcs damaged durring transit to scicron
6pcs found with cracks in the thread after cleaning osp.",Functional,cracked
18,1/12/2022,5846.0,475872,2129-6947,5,30.0,Ø1.55TO1.70 IS 1.39,Dimension,Not Known
19,1/13/2022,5847.0,SCI471356,0010-66750,2,3.0,"2 UNITS: DAMAGE ON SURFACE
1 UNIT: OVER WELDING`",Workmanship,surface finish
20,1/13/2022,5848.0,SCI471282,0010-62721,3,1.0,DAMAGE ON SURFACE OF PART 0041-85128,Workmanship,surface finish
21,1/14/2022,5849.0,470595,853-A02442-010,B,4.0,8-32 threads over size,Workmanship,Threads
22,1/14/2022,5850.0,470596,853-A02442-011,B,4.0,8-32 over size,Workmanship,Not Known
