Process,Reworkable,Severity (S) ,Occurrence (O) ,Detectability (D),Control RPN =  S X O,Detectability RPN S X D,Total RPN,Score
GD&T,N,6,4,3,24,12,72,28
Cosmetic,Y,7,3,3,21,9,63,37
dimension,N,7,3,3,21,9,63,37
Burrs,Y,7,2,2,14,4,28,72
Not Known,,,,,,,,
Threads,N,7,3,3,21,9,63,37
Paint,N,7,3,3,21,9,63,37
Part Mark,Y,6,2,2,12,4,24,76
Silk Screen,Y,7,2,2,14,4,28,72
Leaking,Y,8,3,4,24,12,96,4
Assembly,Y,8,2,4,16,8,64,36
Subcontractor,Y,8,4,5,32,20,160,0
surface finish,Y,7,2,2,14,4,28,72
Material,N,7,3,2,21,6,42,58
transit damaged,N,8,3,6,24,18,144,0
Color,N,7,2,2,14,4,28,72
cracked,N,7,3,3,21,9,63,37
Scratches,Y,6,3,4,18,12,72,28
Cleaning,Y,8,2,3,16,6,48,52
Incorrect Part,Y,8,2,2,16,4,32,68
