JobNum,PartNum,Description,OpID,Qty
448623,"0042-14721, Rev 04","TANK, BRUSH/HF MODULE, DIRECT DR, DUAL CLEANER, RGT",,4
451481,"713-084678-002,Rev B","PED,SERVICE,WINDOW",DEBURCR,1
451481,"713-084678-002,Rev B","PED,SERVICE,WINDOW",QAIPI,1
451481,"713-084678-002,Rev B","PED,SERVICE,WINDOW",MARK,5
451481,"713-084678-002,Rev B","PED,SERVICE,WINDOW",QAFNL,100
451481,"713-084678-002,Rev B","PED,SERVICE,WINDOW",SHIP,20
451481,"713-084678-002,Rev B","PED,SERVICE,WINDOW",SBOND,5
451481,"713-084678-002,Rev B","PED,SERVICE,WINDOW",ROUT,1
451902,"713-084678-002,Rev B","PED,SERVICE,WINDOW",ROUT,50
451902,"713-084678-002,Rev B","PED,SERVICE,WINDOW",MARK,5
451902,"713-084678-002,Rev B","PED,SERVICE,WINDOW",QAFNL,4
451902,"713-084678-002,Rev B","PED,SERVICE,WINDOW",SHIP,1500
451902,"713-084678-002,Rev B","PED,SERVICE,WINDOW",SBOND,100
451939,"K17255593, Rev 2","BAR, GUIDE, MTG, FRONT, SSP",DEBUR,5
451939,"K17255593, Rev 2","BAR, GUIDE, MTG, FRONT, SSP",QAFNL,2974
451939,"K17255593, Rev 2","BAR, GUIDE, MTG, FRONT, SSP",SHIP,1
451939,"K17255593, Rev 2","BAR, GUIDE, MTG, FRONT, SSP",HPlus405,1
451940,"K17255594, Rev 2","BAR, GUIDE, MTG, BACK, SSP",DEBUR,1
451940,"K17255594, Rev 2","BAR, GUIDE, MTG, BACK, SSP",QAFNL,8
451940,"K17255594, Rev 2","BAR, GUIDE, MTG, BACK, SSP",SHIP,48
451940,"K17255594, Rev 2","BAR, GUIDE, MTG, BACK, SSP",,2
452770,"0041-60435, Rev 02",BLOCK CYLINDER COUPLER DISK BRUSH RLKP,,2
452770,"0041-60435, Rev 02",BLOCK CYLINDER COUPLER DISK BRUSH RLKP,STOCK,2
453064,"839-182696-002,Rev B","Shield, Rear Pump Weldment, Tint",QAFNL,3
453064,"839-182696-002,Rev B","Shield, Rear Pump Weldment, Tint",CLEAN13,30
453064,"839-182696-002,Rev B","Shield, Rear Pump Weldment, Tint",CLEAN_IP,3
453064,"839-182696-002,Rev B","Shield, Rear Pump Weldment, Tint",SHIP,1
453064,"839-182696-002,Rev B","Shield, Rear Pump Weldment, Tint",N/A,600
453561,"0270-09544, Rev 02","Jig ASSY, RPS Liners Installation, LLBE",BG&TG,1838
453561,"0270-09544, Rev 02","Jig ASSY, RPS Liners Installation, LLBE",QAFNL,100
453561,"0270-09544, Rev 02","Jig ASSY, RPS Liners Installation, LLBE",,8
454334,"0042-03231, Rev 02",HV CONNECTOR P/S TO CATHODE ASSY,CLC30,30
454334,"0042-03231, Rev 02",HV CONNECTOR P/S TO CATHODE ASSY,DEBUR,2
454334,"0042-03231, Rev 02",HV CONNECTOR P/S TO CATHODE ASSY,QAIPI,3
454334,"0042-03231, Rev 02",HV CONNECTOR P/S TO CATHODE ASSY,PULL,3
454334,"0042-03231, Rev 02",HV CONNECTOR P/S TO CATHODE ASSY,PFIT,1575
454334,"0042-03231, Rev 02",HV CONNECTOR P/S TO CATHODE ASSY,QAFNL,1
454334,"0042-03231, Rev 02",HV CONNECTOR P/S TO CATHODE ASSY,SHIP,5
454334,"0042-03231, Rev 02",HV CONNECTOR P/S TO CATHODE ASSY,N/A,5
454424,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",,2
454424,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",QAIPI,1
454424,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",CLES,98
454424,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",QAFNL,5
454424,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",SHIP,100
454424,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",LEAK,50
454426,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",QAIPI,25
454426,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",CLES,2
454426,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",QAFNL,2
454426,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",SHIP,30
454426,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",N/A,1
454426,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",LEAK,3
454427,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",ASMBL,100
454427,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",LEAK,4
454427,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",QAIPI,5
454427,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",CLES,10
454427,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",QAFNL,72
454427,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",SHIP,72
454427,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",ASMBL,1
454428,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",QAIPI,98
454428,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",CLES,195
454428,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",QAFNL,105
454428,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",SHIP,1000
454428,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",N/A,30
454428,"0010-86295, Rev 02","ASSY, PRE-CLEAN HDF MODULE, GEN4, LKP",LEAK,135
454547,PROCESS TANK BASE 2,PROCESS TANK BASE envirotech p/n 1074AA.K02N,QAFNL,3
454547,PROCESS TANK BASE 2,PROCESS TANK BASE envirotech p/n 1074AA.K02N,STOCK,4
454547,PROCESS TANK BASE 2,PROCESS TANK BASE envirotech p/n 1074AA.K02N,SubCA,2
454553,PROCESS TANK COVER PVDF,PROCESS TANK COVER PVDF envirotech p//n 1073AA.K02N,QAFNL,2
454553,PROCESS TANK COVER PVDF,PROCESS TANK COVER PVDF envirotech p//n 1073AA.K02N,STOCK,2
454553,PROCESS TANK COVER PVDF,PROCESS TANK COVER PVDF envirotech p//n 1073AA.K02N,N/A,600
454953,"0022-06126, Rev 02","Cover, RTPC Module",QAFNL,60
454953,"0022-06126, Rev 02","Cover, RTPC Module",SHIP,100
454953,"0022-06126, Rev 02","Cover, RTPC Module",N/A,2
454953,"0022-06126, Rev 02","Cover, RTPC Module",MARK,1
455094,"0010-68059, Rev 03","ASSY, CORE DUAL BBX, ILDM CLNR",N/A,1
455095,"0010-68059, Rev 03","ASSY, CORE DUAL BBX, ILDM CLNR",LEAK,1
455095,"0010-68059, Rev 03","ASSY, CORE DUAL BBX, ILDM CLNR",QAIPI,83
455095,"0010-68059, Rev 03","ASSY, CORE DUAL BBX, ILDM CLNR",CLEST1,5
455095,"0010-68059, Rev 03","ASSY, CORE DUAL BBX, ILDM CLNR",BLKLIN,5
455095,"0010-68059, Rev 03","ASSY, CORE DUAL BBX, ILDM CLNR",QAFNL,98
455095,"0010-68059, Rev 03","ASSY, CORE DUAL BBX, ILDM CLNR",BG&TG,1
455095,"0010-68059, Rev 03","ASSY, CORE DUAL BBX, ILDM CLNR",N/A,4
455095,"0010-68059, Rev 03","ASSY, CORE DUAL BBX, ILDM CLNR",ASMBL,2
455415,"0040-08337, Rev 03","Cover, Switch Loadcup Mirra 300MM",SHIP,2
455415,"0040-08337, Rev 03","Cover, Switch Loadcup Mirra 300MM",N/A,2
455436,"0022-32134, Rev 03","Drip Rail, Bottom Front, Cleaner",QAFNL,8
455436,"0022-32134, Rev 03","Drip Rail, Bottom Front, Cleaner",CLES,8
455436,"0022-32134, Rev 03","Drip Rail, Bottom Front, Cleaner",BLKLIN,1
455436,"0022-32134, Rev 03","Drip Rail, Bottom Front, Cleaner",CLEAN_IP,85
455436,"0022-32134, Rev 03","Drip Rail, Bottom Front, Cleaner",SHIP,1
455436,"0022-32134, Rev 03","Drip Rail, Bottom Front, Cleaner",N/A,1
455567,"515-244604-102,Rev A","FXTR, TEACH, 200-300 ALIGNER, 1-AXIS",QAFNL,1
455567,"515-244604-102,Rev A","FXTR, TEACH, 200-300 ALIGNER, 1-AXIS",CLEANVC,1
455567,"515-244604-102,Rev A","FXTR, TEACH, 200-300 ALIGNER, 1-AXIS",CLEAN_IP,1
455567,"515-244604-102,Rev A","FXTR, TEACH, 200-300 ALIGNER, 1-AXIS",SHIP,1
455567,"515-244604-102,Rev A","FXTR, TEACH, 200-300 ALIGNER, 1-AXIS",N/A,1
455763,"0021-98096, Rev 01","Cover Safety, Heater Lift Assy",QAFNL,4
455763,"0021-98096, Rev 01","Cover Safety, Heater Lift Assy",SHIP,2
455763,"0021-98096, Rev 01","Cover Safety, Heater Lift Assy",N/A,3
455763,"0021-98096, Rev 01","Cover Safety, Heater Lift Assy",MARK,2
455793,"0090-10030, Rev 02","MOTOR ASSY, PRE-CLEAN SWEEP, RLKP, CMP",QAFNL,1
455793,"0090-10030, Rev 02","MOTOR ASSY, PRE-CLEAN SWEEP, RLKP, CMP",STOCK,8
455793,"0090-10030, Rev 02","MOTOR ASSY, PRE-CLEAN SWEEP, RLKP, CMP",SubCA,8
455793,"0090-10030, Rev 02","MOTOR ASSY, PRE-CLEAN SWEEP, RLKP, CMP",QAIPI,135
455794,"0190-33729, Rev 03","SPEC, 30W BRUSH GAP CONTROL MOTOR, RLK/P",SubCA,50
455794,"0190-33729, Rev 03","SPEC, 30W BRUSH GAP CONTROL MOTOR, RLK/P",STOCK,30
455795,"0190-49684, Rev 03","MOTOR, 600W, CHUCK, PRE-CLEAN",STOCK,2
455795,"0190-49684, Rev 03","MOTOR, 600W, CHUCK, PRE-CLEAN",N/A,2
455856,"839-329977-001,Rev C","WLDMT,ICDS EXH,MAIN APDTR,FM-COMP",LEAK,1
455856,"839-329977-001,Rev C","WLDMT,ICDS EXH,MAIN APDTR,FM-COMP",APPLY,20
455856,"839-329977-001,Rev C","WLDMT,ICDS EXH,MAIN APDTR,FM-COMP",ASMBL,1
455856,"839-329977-001,Rev C","WLDMT,ICDS EXH,MAIN APDTR,FM-COMP",QAFNL,4
455856,"839-329977-001,Rev C","WLDMT,ICDS EXH,MAIN APDTR,FM-COMP",CLEANWI,1
455856,"839-329977-001,Rev C","WLDMT,ICDS EXH,MAIN APDTR,FM-COMP",CLEAN_IP,1
455856,"839-329977-001,Rev C","WLDMT,ICDS EXH,MAIN APDTR,FM-COMP",SHIP,1
455856,"839-329977-001,Rev C","WLDMT,ICDS EXH,MAIN APDTR,FM-COMP",N/A,1
455856,"839-329977-001,Rev C","WLDMT,ICDS EXH,MAIN APDTR,FM-COMP",WELD,1
455989,"0010-32717, Rev 003","SOURCE COVER, MSC, 300MM ENDURA2",QAFNL,1
455989,"0010-32717, Rev 003","SOURCE COVER, MSC, 300MM ENDURA2",BG&TG,4
455989,"0010-32717, Rev 003","SOURCE COVER, MSC, 300MM ENDURA2",CLC30,2
455989,"0010-32717, Rev 003","SOURCE COVER, MSC, 300MM ENDURA2",ASMBL,50
456235,"713-063653-001,Rev A","INSUL, Top PL",DEBUR,1
456235,"713-063653-001,Rev A","INSUL, Top PL",APPLY,4
456235,"713-063653-001,Rev A","INSUL, Top PL",QAFNL,2
456235,"713-063653-001,Rev A","INSUL, Top PL",STOCK,2
456235,"713-063653-001,Rev A","INSUL, Top PL",N/A,8
456517,"839-182696-002,Rev B","Shield, Rear Pump Weldment, Tint",QAFNL,10
456517,"839-182696-002,Rev B","Shield, Rear Pump Weldment, Tint",CLEAN13,10
456517,"839-182696-002,Rev B","Shield, Rear Pump Weldment, Tint",CLEAN_IP,8
456517,"839-182696-002,Rev B","Shield, Rear Pump Weldment, Tint",SHIP,135
456517,"839-182696-002,Rev B","Shield, Rear Pump Weldment, Tint",PULLM,20
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,MASK,50
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,ROUT,30
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,ASMBL,30
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,SAND,1
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,SBOND,19
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,DEBUR,1
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,SBOND,1
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,QAIPI,1
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,CLEAN,1
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,MARK,1
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,QAFNL,10
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,STOCK,52
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,DEBUR,1
456545,"0041-06085, Rev 04",Cover Assy Molded DL Source 300MM MSC,HTTRM,4
456947,"0041-78120, Rev 02","Front Carriage Cover, Carriage",SHIP,2
456947,"0041-78120, Rev 02","Front Carriage Cover, Carriage",DRAPE,2
457165,"0041-53041, Rev 05",COVER LIFT ASSY SIDE B,ROUT,8
457165,"0041-53041, Rev 05",COVER LIFT ASSY SIDE B,STRPF,8
457165,"0041-53041, Rev 05",COVER LIFT ASSY SIDE B,INSTL,135
457165,"0041-53041, Rev 05",COVER LIFT ASSY SIDE B,MARK,20
457165,"0041-53041, Rev 05",COVER LIFT ASSY SIDE B,QAFNL,50
457165,"0041-53041, Rev 05",COVER LIFT ASSY SIDE B,STOCK,1
457165,"0041-53041, Rev 05",COVER LIFT ASSY SIDE B,N/A,30
457360,"0270-10058, Rev 03","Tool, Robot Blade Alignment",N/A,1
457448,"0042-24514, Rev 03",SHELF  TURBO CONTROLLER/ HALF RACK GEN,N/A,1
457464,"0030-00523, Rev 003",Cover Inner Assy Molded DL Source 300MM MSC,SubCA,1
457464,"0030-00523, Rev 003",Cover Inner Assy Molded DL Source 300MM MSC,QAFNL,1
457464,"0030-00523, Rev 003",Cover Inner Assy Molded DL Source 300MM MSC,RECE,19
457464,"0030-00523, Rev 003",Cover Inner Assy Molded DL Source 300MM MSC,N/A,1
457599,"0041-12520, Rev 02","BLOCK DOOR MOUNT MEG TANK, REFLEXION GT",STOCK,1
