Category,Criticality,Difficulty,Reworkable,cdr
Annealing,3,1,2,2
Assembly,3,3,1,5
Bond_&_Weld,3,2,1,4
Burrs,2,1,3,0
Cleaning,3,1,3,1
Color,1,1,1,1
Cosmetic,0,1,0,1
Cracked,2,1,1,2
Critical_Deburr,3,1,2,2
Debris,1,0,3,0
Dimension,3,2,1,4
GD&T,3,2,1,4
Hardware,2,1,2,1
Incorrect_Part,3,1,0,4
Inserts,2,1,2,1
Labelling,0,0,3,0
Leak,3,1,2,2
Masking,3,1,1,3
Material,2,2,1,3
Metal,2,2,1,3
Paint,1,1,1,1
Part_Mark,0,0,3,0
Scratches,0,0,3,0
Silk_Screen,0,0,0,0
SubCon,3,2,2,3
Surface_Finish,2,1,2,1
Thermoform,2,2,1,3
Threads,2,2,2,2
Transit_Damaged,2,0,1,1
