JobNum,PartNum, Price 
462734,"0010-63335, Rev 03",55095.65
RW465329,"0010-63335, Rev 03",55095.65
RMA12001,"0010-67498, Rev 03",41132.79
RMA11933,"0010-67498, Rev 03",41132.79
459062,"0010-81717, Rev 02",2737.03
459067,"0010-81717, Rev 02",5250.92
468206,"0010-81717, Rev 02",5250.92
462093,"0010-81717, Rev 02",3675.64
462094,"0010-81717, Rev 02",3675.64
462130,"0010-81717, Rev 02",2625.46
462131,"0010-81717, Rev 02",2827.42
462132,"0010-81717, Rev 02",2827.42
462134,"0010-81717, Rev 02",3063.04
465757,"0010-81717, Rev 02",3063.04
464345,"0010-81717, Rev 02",3063.04
464346,"0010-81717, Rev 02",2625.46
462090,"0010-81717, Rev 02",2625.46
467463,"0010-81717, Rev 02",36756.43
ASM467467,"0010-81929, Rev 04",349.76
ASM463647,"0010-81929, Rev 04",349.76
ASM467468,"0010-81929, Rev 04",233.17
ASM464614,"0010-81929, Rev 04",349.76
ASM467469,"0010-81929, Rev 04",699.52
ASM467013,"0010-81931, Rev 04",696.01
ASM463648,"0010-81931, Rev 04",348.01
ASM462467,"0010-81931, Rev 04",3480.07
ASM464952,"0010-81931, Rev 04",348.01
ASM467489,"0010-81931, Rev 04",3796.44
SCI465536,"0041-35648, Rev 03",312.62
SCI459920,"0041-35648, Rev 03",625.23
SCI465537,"0041-35648, Rev 03",312.62
SCI465538,"0041-35648, Rev 03",312.62
SCI468433,"0041-35648, Rev 03",312.62
SCI468434,"0041-35648, Rev 03",312.62
ASM464350,"0190-37381, Rev 01",3708.98
ASM465063,"0010-89274, Rev 05",1512.23
ASM464399,"0010-89274, Rev 05",1008.15
ASM465667,"0010-89274, Rev 05",604.89
466977,"853-115262-010,Rev A",11271.75
457963,"839-114167-010,Rev E",1209.20
CP453591,"0041-29383, Rev 04",1389.61
ASM462468,"0010-64699, Rev 03",371.23
ASM467585,"0010-64699, Rev 03",185.62
ASM467586,"0010-64699, Rev 03",3712.33
ASM463649,"0010-64699, Rev 03",185.62
ASM467022,"0010-64699, Rev 03",3712.33
ASM467608,"0010-81784, Rev 03",178.13
ASM463684,"0010-81784, Rev 03",178.13
ASM462472,"0010-81784, Rev 03",178.13
ASM467609,"0010-81784, Rev 03",178.13
ASM464660,"0010-81784, Rev 03",178.13
ASM463541,"0042-35003, Rev 04",439.33
468075,"839-292235-102,Rev C",436.02
CP461460,"0041-79337, Rev 04",333.87
CP466538,"0042-28448, Rev 02",402.51
CP466539,"0042-28449, Rev 02",796.77
CP468344,"0042-28449, Rev 02",637.41
MT-467452,"073120, Rev E1",2890.92
465597,"04-435960-00,Rev C",2874.68
466576,"04-435960-00,Rev C",287.47
ASM464663,"0010-81782, Rev 03",283.82
ASM467038,"0010-81782, Rev 03",283.82
ASM463691,"0010-81782, Rev 03",4257.34
ASM467610,"0010-81782, Rev 03",2838.23
ASM467611,"0010-81782, Rev 03",2838.23
ASM458941,"0042-24175, Rev 07",248.11
466586,"0041-90121, Rev 02",268.49
466439,"0041-90121, Rev 02",3624.60
466656,"0041-90121, Rev 02",3624.60
466619,"0041-90121, Rev 02",1812.30
ASM466090,"0041-90121, Rev 02",1132.69
SCI459740,"0041-90121, Rev 02",1812.30
SCI459741,"0041-90121, Rev 02",1812.30
467556,"0041-90121, Rev 02",1812.30
SCI459742,"0041-90121, Rev 02",1812.30
ASM468328,"0041-90121, Rev 02",906.15
ASM464303,"0041-90121, Rev 02",1208.20
SCI464786,"0041-90121, Rev 02",683.89
SCI464770,"0041-90121, Rev 02",906.15
SCI464772,"0041-90121, Rev 02",906.15
SCI464773,"0041-90121, Rev 02",906.15
SCI464780,"0041-90121, Rev 02",1726.00
SCI464774,"0041-90121, Rev 02",906.15
ASM441759,"0041-90121, Rev 02",557.63
ASM465338,"0010-64238, Rev 03",3622.95
P462337,"0042-35002, Rev 02",731.01
ASM463111,"0042-35002, Rev 02",219.30
ASM461837,"0010-63408, Rev 02",543.74
P458868,"K11263836-02, Rev P01",1286.50
SCI461881,"0010-59820, Rev 06",202.60
SCI466818,"0010-59820, Rev 06",202.60
SCI466819,"0010-59820, Rev 06",202.60
ASM466934,"0042-25930, Rev 01",396.94
464897,"0042-17458, Rev 02",658.65
ASM458014,"0090-10016, Rev 02",3631.42
ASM467053,"0090-10016, Rev 02",1162.06
ASM463373,"0090-10016, Rev 02",2905.14
ASM463415,"0090-10016, Rev 02",161.40
ASM463417,"0090-10016, Rev 02",161.40
ASM463419,"0090-10016, Rev 02",161.40
ASM468411,"0090-10016, Rev 02",2905.14
SCI466809,"0010-59206, Rev 03",190.98
SCI463846,"0010-59206, Rev 03",190.98
462723,"0042-32994, Rev 02",1867.37
455989,"0010-32717, Rev 003",181.02
ASM467591,"0010-67966, Rev 03",2702.99
ASM467592,"0010-67966, Rev 03",2702.99
468495,"0010-67966, Rev 03",2702.99
ASM462470,"0010-67966, Rev 03",2702.99
ASM467030,"0010-67966, Rev 03",2702.99
ASM467593,"0010-67966, Rev 03",2702.99
ASM464630,"0010-67966, Rev 03",2702.99
ASM463650,"0010-67966, Rev 03",2702.99
ASM468496,"0010-67966, Rev 03",2162.39
ASM459974,"0041-86989, Rev 02",295.49
ASM462738,"0041-86989, Rev 02",177.29
ASM463395,"0022-17328, Rev 02",280.24
ASM467779,"0022-17328, Rev 02",1681.45
ASM467351,"0022-17328, Rev 02",1261.09
ASM467352,"0022-17328, Rev 02",1261.09
ASM467780,"0022-17328, Rev 02",2017.74
ASM462584,"0022-17328, Rev 02",691.01
SCI466831,"0010-62722, Rev 03",167.31
SCI466832,"0010-62722, Rev 03",167.31
RMA12003,"0010-62905, Rev 02",1648.71
ASM462935,"0010-62905, Rev 02",824.36
ASM461519,"0010-62905, Rev 02",494.61
ASM459305,"0010-62905, Rev 02",1335.90
ASM462312,"0010-62905, Rev 02",1335.90
ASM464827,"0010-62905, Rev 02",824.36
ASM463293,"0010-62905, Rev 02",824.36
ASM466985,"0010-62905, Rev 02",494.61
ASM466233,"0010-62905, Rev 02",618.27
ASM466986,"0010-62905, Rev 02",618.27
ASM466987,"0010-62905, Rev 02",989.23
ASM462360,"0041-63483, Rev 03",536.31
ASM467492,"0041-63483, Rev 03",2413.40
ASM467493,"0041-63483, Rev 03",2413.40
ASM467494,"0041-63483, Rev 03",2413.40
ASM462879,"0041-63483, Rev 03",536.31
ASM463653,"0041-63483, Rev 03",1608.93
ASM467014,"0041-63483, Rev 03",2413.40
SCI467523,"0010-59815, Rev 06",159.86
ASM467476,"0041-61630, Rev 03",1585.93
ASM462905,"0041-61630, Rev 03",317.19
ASM467270,"0041-61630, Rev 03",2162.64
ASM463786,"0041-61630, Rev 03",2378.90
ASM464616,"0041-61630, Rev 03",2378.90
ASM467477,"0041-61630, Rev 03",2378.90
ASM467957,"0041-53612, Rev 10",383.66
MT-458419,"0190-53648, Rev 03",761.75
